id	disposition	duplicateOf	evidence
p3:truncated_fragment:sim-024:copy	safely_omitted		Defects in P3 first-16 batch (1): len=21;hash=4dc9a04370a2@idx15→safely_omitted→len=161;hash=241cadbbbdff
p3:truncated_fragment:sim-024:api	proven_duplicate	p3:truncated_fragment:sim-024:copy	Dual-mode inflation: same fixture batch blocked on api after copy. Underlying defects=len=21;hash=4dc9a04370a2:safely_omitted. Primary disposition on copy channel=safely_omitted.
p3:truncated_fragment:sim-028:copy	safely_omitted		Defects in P3 first-16 batch (1): len=21;hash=4dc9a04370a2@idx15→safely_omitted→len=161;hash=241cadbbbdff
p3:truncated_fragment:sim-028:api	proven_duplicate	p3:truncated_fragment:sim-028:copy	Dual-mode inflation: same fixture batch blocked on api after copy. Underlying defects=len=21;hash=4dc9a04370a2:safely_omitted. Primary disposition on copy channel=safely_omitted.
p3:truncated_fragment:sim-108:copy	safely_omitted		Defects in P3 first-16 batch (1): len=21;hash=4dc9a04370a2@idx15→safely_omitted→len=161;hash=241cadbbbdff
p3:truncated_fragment:sim-108:api	proven_duplicate	p3:truncated_fragment:sim-108:copy	Dual-mode inflation: same fixture batch blocked on api after copy. Underlying defects=len=21;hash=4dc9a04370a2:safely_omitted. Primary disposition on copy channel=safely_omitted.
p3:truncated_fragment:sim-109:copy	safely_omitted		Defects in P3 first-16 batch (1): len=21;hash=4dc9a04370a2@idx15→safely_omitted→len=161;hash=241cadbbbdff
p3:truncated_fragment:sim-109:api	proven_duplicate	p3:truncated_fragment:sim-109:copy	Dual-mode inflation: same fixture batch blocked on api after copy. Underlying defects=len=21;hash=4dc9a04370a2:safely_omitted. Primary disposition on copy channel=safely_omitted.
p3:truncated_fragment:sim-110:copy	safely_omitted		Defects in P3 first-16 batch (1): len=21;hash=4dc9a04370a2@idx15→safely_omitted→len=161;hash=241cadbbbdff
p3:truncated_fragment:sim-110:api	proven_duplicate	p3:truncated_fragment:sim-110:copy	Dual-mode inflation: same fixture batch blocked on api after copy. Underlying defects=len=21;hash=4dc9a04370a2:safely_omitted. Primary disposition on copy channel=safely_omitted.
p3:truncated_fragment:sim-112:copy	safely_omitted		Defects in P3 first-16 batch (1): len=21;hash=4dc9a04370a2@idx15→safely_omitted→len=161;hash=241cadbbbdff
