id	disposition	duplicateOf	evidence
p3:raw_extraction_marker:cb-fresh-002-jordan-hale:copy	reconstructed		Defects in P3 first-16 batch (1): len=28;hash=e6e25826b9ab@idx15→reconstructed→len=155;hash=14aa2a25de7f
p3:raw_extraction_marker:cb-fresh-002-jordan-hale:api	proven_duplicate	p3:raw_extraction_marker:cb-fresh-002-jordan-hale:copy	Dual-mode inflation: same fixture batch blocked on api after copy. Underlying defects=len=28;hash=e6e25826b9ab:reconstructed. Primary disposition on copy channel=reconstructed.
p3:raw_extraction_marker:sc-00032:copy	reconstructed		Defects in P3 first-16 batch (1): len=28;hash=e6e25826b9ab@idx11→reconstructed→len=155;hash=14aa2a25de7f
p3:raw_extraction_marker:sc-00032:api	proven_duplicate	p3:raw_extraction_marker:sc-00032:copy	Dual-mode inflation: same fixture batch blocked on api after copy. Underlying defects=len=28;hash=e6e25826b9ab:reconstructed. Primary disposition on copy channel=reconstructed.
p3:raw_extraction_marker:sc-0003e:copy	reconstructed		Defects in P3 first-16 batch (1): len=28;hash=e6e25826b9ab@idx11→reconstructed→len=155;hash=14aa2a25de7f
p3:raw_extraction_marker:sc-0003e:api	proven_duplicate	p3:raw_extraction_marker:sc-0003e:copy	Dual-mode inflation: same fixture batch blocked on api after copy. Underlying defects=len=28;hash=e6e25826b9ab:reconstructed. Primary disposition on copy channel=reconstructed.
p3:raw_extraction_marker:sc-00044:copy	reconstructed		Defects in P3 first-16 batch (1): len=28;hash=e6e25826b9ab@idx11→reconstructed→len=155;hash=14aa2a25de7f
p3:raw_extraction_marker:sc-00044:api	proven_duplicate	p3:raw_extraction_marker:sc-00044:copy	Dual-mode inflation: same fixture batch blocked on api after copy. Underlying defects=len=28;hash=e6e25826b9ab:reconstructed. Primary disposition on copy channel=reconstructed.
p3:raw_extraction_marker:sc-00056:copy	reconstructed		Defects in P3 first-16 batch (1): len=28;hash=e6e25826b9ab@idx11→reconstructed→len=155;hash=14aa2a25de7f
p3:raw_extraction_marker:sc-00056:api	proven_duplicate	p3:raw_extraction_marker:sc-00056:copy	Dual-mode inflation: same fixture batch blocked on api after copy. Underlying defects=len=28;hash=e6e25826b9ab:reconstructed. Primary disposition on copy channel=reconstructed.
p3:raw_extraction_marker:sc-00062:copy	reconstructed		Defects in P3 first-16 batch (1): len=28;hash=e6e25826b9ab@idx11→reconstructed→len=155;hash=14aa2a25de7f
p3:raw_extraction_marker:sc-00062:api	proven_duplicate	p3:raw_extraction_marker:sc-00062:copy	Dual-mode inflation: same fixture batch blocked on api after copy. Underlying defects=len=28;hash=e6e25826b9ab:reconstructed. Primary disposition on copy channel=reconstructed.
p3:raw_extraction_marker:sc-00068:copy	reconstructed		Defects in P3 first-16 batch (1): len=28;hash=e6e25826b9ab@idx11→reconstructed→len=155;hash=14aa2a25de7f
